año,Mes,Estamento,cargo_funcion,grado_jornada,calif_form,region,as_espec,r_bruta_mens,r_liquida_mens,r_adic,r_bonos_inc,der_hr_ext,mont_hr_ext_diur,mont_hr_ext_noct,mont_hr_ext_fest,fecha_in,fecha_ter,viaticos,observaciones,id,monto_hr_ext_diur,hr_ext_diur,monto_hr_ext_noct,hr_ext_noct,monto_hr_ext_fest,hr_ext_fest
2013,Enero,Técnico,TECNICO DOM,10,MAS DE 4 SEMESTRES UNIVERSITARIOS,Región Metropolitana de Santiago,-2,851478,,-,-,No,"59.314,00 : 14,00 hrs","40.672,00 : 8,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,56,59.314,14.0,40.672,8.0,0.0,0.0
2013,Enero,Administrativo,ADMINISTRATIVO LICENCIAS DE CONDUCIR TRANSITO,13,4TO. MEDIO,Región Metropolitana de Santiago,-1,564721,,-,-,No,"34.743,00 : 14,00 hrs",No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,65,34.743,14.0,0.0,0.0,0.0,0.0
2013,Enero,Administrativo,ADMINISTRATIVO CONCEJALES,14,4TO. MEDIO,Región Metropolitana de Santiago,-2,0,,-,-,No,No tiene,No tiene,No tiene,01-01-2013,01-01-2013,No informa,Sin observaciones,73,0.0,0.0,0.0,0.0,0.0,0.0
2013,Enero,Administrativo,ADMINISTRATIVO INSPECTOR DPTO. INSPECCION,16,4TO. MEDIO,Región Metropolitana de Santiago,-2,0,,-,-,No,No tiene,No tiene,No tiene,01-01-2013,01-01-2013,No informa,Sin observaciones,81,0.0,0.0,0.0,0.0,0.0,0.0
2013,Enero,Profesional,PROFESIONAL DIRECCION DE PROYECTOS,6,INGENIERO DE EJECUCCION ELECTRICO,Región Metropolitana de Santiago,-2,1937268,,-,-,No,"193.102,00 : 20,00 hrs","115.861,00 : 10,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,103,193.102,20.0,115.861,10.0,0.0,0.0
2013,Enero,Administrativo,ADM. PERMISOS DE CIRCULACION,12,SECRETARIA EJECUTIVA,Región Metropolitana de Santiago,-2,326850,,-,-,No,No tiene,No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,112,0.0,0.0,0.0,0.0,0.0,0.0
2013,Enero,Administrativo,SECRETARIA DITEC,12,SECRETARIA EJECUTIVA,Región Metropolitana de Santiago,-2,683555,,-,-,No,"23.481,00 : 8,00 hrs","31.699,00 : 9,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,115,23.481,8.0,31.699,9.0,0.0,0.0
2013,Enero,Administrativo,ADMINISTRATIVO DPTO. REGISTRO Y FISCALIZACION,17,4TO. MEDIO,Región Metropolitana de Santiago,-2,381906,,-,-,No,"23.373,00 : 15,00 hrs","9.349,00 : 5,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,118,23.373,15.0,9.349,5.0,0.0,0.0
2013,Enero,Profesional,PROFESIONAL JUZGADO POLICIA LOCAL,6,ABOGADO,Región Metropolitana de Santiago,-2,1912687,,-,-,No,"77.241,00 : 8,00 hrs",No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,120,77.241,8.0,0.0,0.0,0.0,0.0
2013,Enero,Técnico,TECNICO DPTO. PROGRAMAS SOCIALES,10,TECNICO DE NIVEL SUPERIOR DE FUTBOL,Región Metropolitana de Santiago,-2,839870,,-,-,No,"105.917,00 : 25,00 hrs","244.034,00 : 48,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,123,105.917,25.0,244.034,48.0,0.0,0.0
2013,Enero,Profesional,PROFESIONAL DPTO. FISCALIZACION DOM,7,INGENIERO EN PREVENCION DE RIESGOS,Región Metropolitana de Santiago,-1,1501370,,-,-,No,No tiene,No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,133,0.0,0.0,0.0,0.0,0.0,0.0
2013,Enero,Administrativo,ADMINISTRATIVO DPTO. PERSONAL,17,4TO. MEDIO,Región Metropolitana de Santiago,-2,0,,-,-,No,No tiene,No tiene,No tiene,01-01-2013,01-01-2013,No informa,Sin observaciones,138,0.0,0.0,0.0,0.0,0.0,0.0
2013,Enero,Profesional,JEFE DE ADQUISICIONES,8,INGENIERO COMERCIAL,Región Metropolitana de Santiago,-2,1243151,,-,-,No,"249.863,00 : 40,00 hrs","74.959,00 : 10,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,152,249.863,40.0,74.959,10.0,0.0,0.0
2013,Enero,Profesional,JEFE DPTO. DE DEPORTES,10,PROFESORA DE EDUCACION FISICA,Región Metropolitana de Santiago,-2,839870,,-,-,No,"169.468,00 : 40,00 hrs","122.017,00 : 24,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,153,169.468,40.0,122.017,24.0,0.0,0.0
2013,Enero,Administrativo,ADMINISTRATIVO CONTABILIDAD - DAF,17,CONTADOR,Región Metropolitana de Santiago,-2,378522,,-,-,No,"56.095,00 : 36,00 hrs","35.527,00 : 19,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,161,56.095,36.0,35.527,19.0,0.0,0.0
2013,Enero,Profesional,PROFESIONAL DIRECCION DE PROYECTOS,9,CONSTRUCTOR CIVIL,Región Metropolitana de Santiago,-2,1042139,,-,-,No,No tiene,No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,162,0.0,0.0,0.0,0.0,0.0,0.0
2013,Enero,Profesional,PROFESIONAL JURIDICO,10,PERIODISTA,Región Metropolitana de Santiago,-1,839870,,-,-,No,No tiene,No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,171,0.0,0.0,0.0,0.0,0.0,0.0
2013,Enero,Profesional,PROFESIONAL JURIDICO,8,ABOGADO,Región Metropolitana de Santiago,-2,1222729,,-,-,No,No tiene,No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,183,0.0,0.0,0.0,0.0,0.0,0.0
2013,Enero,Profesional,PROFESIONAL DPTO.PERSONAL -DAF,9,ASISTENTE SOCIAL,Región Metropolitana de Santiago,-1,1004650,,-,-,No,"102.690,00 : 20,00 hrs","36.968,00 : 6,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,187,102.69,20.0,36.968,6.0,0.0,0.0
2013,Enero,Administrativo,CAJERA TESORERIA MUNICIPAL,17,LICENCIA EDUCACION MEDIA,Región Metropolitana de Santiago,-2,0,,-,-,No,No tiene,No tiene,No tiene,01-01-2013,01-01-2013,No informa,Sin observaciones,193,0.0,0.0,0.0,0.0,0.0,0.0
2013,Enero,Administrativo,ADMINISTRATIVO DPTO. ADMINISTRACION,12,4TO. MEDIO,Región Metropolitana de Santiago,-2,678578,,-,-,No,"117.403,00 : 40,00 hrs","102.141,00 : 29,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,195,117.403,40.0,102.141,29.0,0.0,0.0
2013,Enero,Técnico,TECINICO DIRECCION TRANSITO,11,ADMINISTRACION DE EMPRESAS PERSONAL,Región Metropolitana de Santiago,-2,742318,,-,-,No,No tiene,No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,197,0.0,0.0,0.0,0.0,0.0,0.0
2013,Enero,Técnico,TECNICO PERMISOS DE CIRCULACION,10,ESTUDIOS UNIVERSITARIOS INCOMPLETOS,Región Metropolitana de Santiago,-2,857282,,-,-,No,"46.604,00 : 11,00 hrs",No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,205,46.604,11.0,0.0,0.0,0.0,0.0
2013,Enero,Profesional,PROFESIONAL DIRECCION DE ADMINISTRACION Y FINANZAS,9,ADMINSTRADOR PUBLICO,Región Metropolitana de Santiago,-1,1004650,,-,-,No,"205.379,00 : 40,00 hrs",No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,212,205.379,40.0,0.0,0.0,0.0,0.0
2013,Enero,Administrativo,ADMINISTRATIVO EN DIDECO,14,TECNICO DE HOTELERIA Y TURISMO,Región Metropolitana de Santiago,-2,497721,,-,-,No,No tiene,No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,216,0.0,0.0,0.0,0.0,0.0,0.0
2013,Enero,Técnico,JEFE DE GABINETE,10,INGENIERO COMERCIAL,Región Metropolitana de Santiago,-2,868890,,-,-,No,"169.468,00 : 40,00 hrs","274.538,00 : 54,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,235,169.468,40.0,274.538,54.0,0.0,0.0
2013,Enero,Auxiliar,AUXILIAR DPTO. ADMINISTRACION DAF,18,5 AÑO MECANICO,Región Metropolitana de Santiago,-1,357378,,-,-,No,"58.466,00 : 40,00 hrs","85.945,00 : 49,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,238,58.466,40.0,85.945,49.0,0.0,0.0
2013,Enero,Administrativo,CAJERA TESORERIA MUNICIPAL,17,LICENCIA EDUCACION MEDIA,Región Metropolitana de Santiago,-2,378522,,-,-,No,"62.328,00 : 40,00 hrs","7.479,00 : 4,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,241,62.328,40.0,7.479,4.0,0.0,0.0
2013,Enero,Profesional,PROFESIONAL DIRECCION DE ADMINISTRACION Y FINANZAS,9,ADMINISTRADOR PUBLICO,Región Metropolitana de Santiago,-2,1004650,,-,-,No,"123.228,00 : 24,00 hrs","117.066,00 : 19,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,246,123.228,24.0,117.066,19.0,0.0,0.0
2013,Enero,Profesional,JEFE DPTO. DE MEDIO AMBIENTE,7,MEDICO VETERINARIO,Región Metropolitana de Santiago,-1,1493801,,-,-,No,No tiene,"101.759,00 : 11,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,260,0.0,0.0,101.759,11.0,0.0,0.0
2013,Enero,Administrativo,ADMINISTRATIVO DIRECCION JURIDICA,17,TECNICO ADMINISTRACION DE EMPRESAS,Región Metropolitana de Santiago,-2,381906,,-,-,No,"12.466,00 : 8,00 hrs",No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,271,12.466,8.0,0.0,0.0,0.0,0.0
2013,Enero,Profesional,PROFESIONAL DIRECCION JURIDICA,8,ABOGADO,Región Metropolitana de Santiago,-2,1222729,,-,-,No,No tiene,No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,282,0.0,0.0,0.0,0.0,0.0,0.0
2013,Enero,Administrativo,ADM. - SECRETARIA DPTO. PROGRAMAS SOCIALES,16,SECRETARIA EJECUTIVA,Región Metropolitana de Santiago,-2,450099,,-,-,No,"39.094,00 : 22,00 hrs","29.853,00 : 14,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,295,39.094,22.0,29.853,14.0,0.0,0.0
2013,Enero,Administrativo,ADMINISTRATIVO JUZGADO DE POLICIA LOCAL,17,4TO. MEDIO,Región Metropolitana de Santiago,-2,385290,,-,-,No,"31.164,00 : 20,00 hrs",No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,302,31.164,20.0,0.0,0.0,0.0,0.0
2013,Enero,Profesional,PROFESIONAL DAO,9,INGENIERO EJECUCCION DE MINAS,Región Metropolitana de Santiago,-2,1042139,,-,-,No,No tiene,No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,309,0.0,0.0,0.0,0.0,0.0,0.0
2013,Enero,Administrativo,PROFESIONAL DAO,12,4TO. MEDIO,Región Metropolitana de Santiago,-2,663650,,-,-,No,"76.312,00 : 26,00 hrs",No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,311,76.312,26.0,0.0,0.0,0.0,0.0
2013,Enero,Técnico,TECNICO ADMINISTRACION MUNICIPAL,10,COMUNICADOR SOCIAL,Región Metropolitana de Santiago,-2,839870,,-,-,No,"101.681,00 : 24,00 hrs",No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,317,101.681,24.0,0.0,0.0,0.0,0.0
2013,Enero,Técnico,TECNICO DITEC,11,ANALISTA DE SISTEMA,Región Metropolitana de Santiago,-2,731570,,-,-,No,"49.370,00 : 14,00 hrs","88.865,00 : 21,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,350,49.37,14.0,88.865,21.0,0.0,0.0
2013,Enero,Administrativo,ADMINISTRATIVO DIRECCION JURIDICA,17,TECNICO ADMINISTRACION DE EMPRESAS,Región Metropolitana de Santiago,-2,381906,,-,-,No,No tiene,No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,353,0.0,0.0,0.0,0.0,0.0,0.0
2013,Enero,Administrativo,SECRETARIA ALCALDE,12,4TO. MEDIO,Región Metropolitana de Santiago,-2,673602,,-,-,No,"38.156,00 : 13,00 hrs","42.265,00 : 12,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,355,38.156,13.0,42.265,12.0,0.0,0.0
2013,Enero,Administrativo,ADMINISTRATIVO LICENCIAS DE CONDUCIR TRANSITO,12,SECRETARIA EJECUTIVA,Región Metropolitana de Santiago,-2,688531,,-,-,No,No tiene,No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,374,0.0,0.0,0.0,0.0,0.0,0.0
2013,Enero,Profesional,JEFE DPTO. LABORAL DIDECO,7,ASISTENTE SOCIAL,Región Metropolitana de Santiago,-2,1554351,,-,-,No,"169.599,00 : 22,00 hrs","129.512,00 : 14,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,378,169.599,22.0,129.512,14.0,0.0,0.0
2013,Enero,Técnico,TECNICO DITEC,17,TECNICO PROGRAMACION COMPUTACIONAL,Región Metropolitana de Santiago,-1,0,,-,-,No,No tiene,No tiene,No tiene,01-01-2013,01-01-2013,No informa,Sin observaciones,389,0.0,0.0,0.0,0.0,0.0,0.0
2013,Enero,Técnico,JEFE DE REMUNERACIONES,12,CONTADOR,Región Metropolitana de Santiago,-1,653697,,-,-,No,"117.403,00 : 40,00 hrs","56.354,00 : 16,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,401,117.403,40.0,56.354,16.0,0.0,0.0
2013,Febrero,Administrativo,ADMINISTRATIVO TRANSITO,12,ESTUDIOS UNIVERSITARIOS INCOMPLETOS,Región Metropolitana de Santiago,-1,653697,,-,-,Sí,"85.117,00 : 29,00 hrs","77.486,00 : 22,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,0,85.117,29.0,77.486,22.0,0.0,0.0
2013,Febrero,Auxiliar,AUXILIAR ASEO DAO,15,EGRESADO ENSEÑANZA MEDIA,Región Metropolitana de Santiago,-2,439332,,-,-,Sí,"13.201,00 : 7,00 hrs","15.841,00 : 7,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,5,13.201,7.0,15.841,7.0,0.0,0.0
2013,Febrero,Administrativo,ADMINISTRATIVO ORG. COMUNITARIAS DIDECO,16,AGENTE COMERCIAL,Región Metropolitana de Santiago,-2,424534,,-,-,Sí,"44.425,00 : 25,00 hrs","68.236,00 : 32,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,9,44.425,25.0,68.236,32.0,0.0,0.0
2013,Febrero,Técnico,TECNICO VETERINARIO MEDIO AMBIENTE DIDECO,10,MEDICO VETERINARIO,Región Metropolitana de Santiago,-2,834066,,-,-,Sí,No tiene,"30.504,00 : 6,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,14,0.0,0.0,30.504,6.0,0.0,0.0
2013,Febrero,Profesional,PROFESIONAL DIRECCION DE ADMINISTRACION Y FINANZAS,9,ADMINISTRADOR PUBLICO,Región Metropolitana de Santiago,-1,1004650,,-,-,Sí,"205.379,00 : 40,00 hrs","104.744,00 : 17,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,16,205.379,40.0,104.744,17.0,0.0,0.0
2013,Febrero,Técnico,JEFE DPTO. ADMINISTRACION DAF,10,INGENIERO DE EJECUCION INDUSTRIAL,Región Metropolitana de Santiago,-2,839870,,-,-,Sí,"105.917,00 : 25,00 hrs","142.353,00 : 28,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,45,105.917,25.0,142.353,28.0,0.0,0.0
2013,Febrero,Administrativo,CAJERA TESORERIA MUNICIPAL,17,4TO MEDIO COMERCIAL,Región Metropolitana de Santiago,-1,378522,,-,-,Sí,"14.024,00 : 9,00 hrs",No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,49,14.024,9.0,0.0,0.0,0.0,0.0
2013,Febrero,Administrativo,ADMISTRATIVO SECRETARIA PERMISO DE CIRCULACION,14,4TO. MEDIO,Región Metropolitana de Santiago,-2,501987,,-,-,Sí,"14.931,00 : 7,00 hrs",No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,50,14.931,7.0,0.0,0.0,0.0,0.0
2013,Febrero,Administrativo,ADM.-COTIZADOR ADQUISICIONES DAF,13,4TO. MEDIO,Región Metropolitana de Santiago,-1,587759,,-,-,Sí,No tiene,"8.934,00 : 3,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,54,0.0,0.0,8.934,3.0,0.0,0.0
2013,Febrero,Técnico,TECNICO DOM,10,MAS DE 4 SEMESTRES UNIVERSITARIOS,Región Metropolitana de Santiago,-2,851478,,-,-,Sí,"59.314,00 : 14,00 hrs","50.840,00 : 10,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,56,59.314,14.0,50.84,10.0,0.0,0.0
2013,Febrero,Administrativo,ADMINISTRATIVO LICENCIAS DE CONDUCIR TRANSITO,13,4TO. MEDIO,Región Metropolitana de Santiago,-1,564721,,-,-,Sí,"14.890,00 : 6,00 hrs",No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,65,14.89,6.0,0.0,0.0,0.0,0.0
2013,Febrero,Profesional,PROFESIONAL DIRECCION DE PROYECTOS,6,INGENIERO DE EJECUCCION ELECTRICO,Región Metropolitana de Santiago,-2,1937268,,-,-,Sí,"38.620,00 : 4,00 hrs","46.344,00 : 4,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,103,38.62,4.0,46.344,4.0,0.0,0.0
2013,Febrero,Auxiliar,AUXILIAR DIRECCION JURIDICA,17,TECNICO NIVEL MEDIO EN ADMINISTRACION,Región Metropolitana de Santiago,-2,375984,,-,-,No,No tiene,No tiene,No tiene,01-02-2013,30-04-2013,No informa,Sin observaciones,110,0.0,0.0,0.0,0.0,0.0,0.0
2013,Febrero,Administrativo,ADM. PERMISOS DE CIRCULACION,12,SECRETARIA EJECUTIVA,Región Metropolitana de Santiago,-2,326850,,-,-,No,No tiene,No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,112,0.0,0.0,0.0,0.0,0.0,0.0
2013,Febrero,Administrativo,SECRETARIA DITEC,12,SECRETARIA EJECUTIVA,Región Metropolitana de Santiago,-2,683555,,-,-,Sí,"32.286,00 : 11,00 hrs",No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,115,32.286,11.0,0.0,0.0,0.0,0.0
2013,Febrero,Administrativo,ADMINISTRATIVO DPTO. REGISTRO Y FISCALIZACION,17,4TO. MEDIO,Región Metropolitana de Santiago,-1,381906,,-,-,No,No tiene,No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,118,0.0,0.0,0.0,0.0,0.0,0.0
2013,Febrero,Profesional,PROFESIONAL JUZGADO POLICIA LOCAL,6,ABOGADO,Región Metropolitana de Santiago,-2,1912687,,-,-,Sí,"96.551,00 : 10,00 hrs",No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,120,96.551,10.0,0.0,0.0,0.0,0.0
2013,Febrero,Técnico,TECNICO DPTO. PROGRAMAS SOCIALES,10,TECNICO DE NIVEL SUPERIOR DE FUTBOL,Región Metropolitana de Santiago,-2,839870,,-,-,Sí,"156.758,00 : 37,00 hrs","274.538,00 : 54,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,123,156.758,37.0,274.538,54.0,0.0,0.0
2013,Febrero,Profesional,PROFESIONAL DPTO. FISCALIZACION DOM,7,INGENIERO EN PREVENCION DE RIESGOS,Región Metropolitana de Santiago,-2,1501370,,-,-,Sí,"46.254,00 : 6,00 hrs",No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,133,46.254,6.0,0.0,0.0,0.0,0.0
2013,Febrero,Profesional,JEFE DE ADQUISICIONES,8,INGENIERO COMERCIAL,Región Metropolitana de Santiago,-2,1243151,,-,-,Sí,"156.164,00 : 25,00 hrs","37.479,00 : 5,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,152,156.164,25.0,37.479,5.0,0.0,0.0
2013,Febrero,Profesional,JEFE DPTO. DE DEPORTES,10,PROFESORA DE EDUCACION FISICA,Región Metropolitana de Santiago,-1,839870,,-,-,Sí,"59.314,00 : 14,00 hrs","20.336,00 : 4,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,153,59.314,14.0,20.336,4.0,0.0,0.0
2013,Febrero,Administrativo,ADMINISTRATIVO CONTABILIDAD - DAF,17,CONTADOR,Región Metropolitana de Santiago,-1,378522,,-,-,Sí,"37.397,00 : 24,00 hrs","5.609,00 : 3,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,161,37.397,24.0,5.609,3.0,0.0,0.0
2013,Febrero,Profesional,PROFESIONAL DIRECCION DE PROYECTOS,9,CONSTRUCTOR CIVIL,Región Metropolitana de Santiago,-2,1042139,,-,-,Sí,"30.807,00 : 6,00 hrs",No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,162,30.807,6.0,0.0,0.0,0.0,0.0
2013,Febrero,Profesional,PROFESIONAL JURIDICO,10,PERIODISTA,Región Metropolitana de Santiago,-2,839870,,-,-,No,No tiene,No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,171,0.0,0.0,0.0,0.0,0.0,0.0
2013,Febrero,Profesional,PROFESIONAL JURIDICO,8,ABOGADO,Región Metropolitana de Santiago,-2,1222729,,-,-,No,No tiene,No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,183,0.0,0.0,0.0,0.0,0.0,0.0
2013,Febrero,Profesional,PROFESIONAL DPTO.PERSONAL -DAF,9,ASISTENTE SOCIAL,Región Metropolitana de Santiago,-1,1004650,,-,-,Sí,"205.379,00 : 40,00 hrs","141.712,00 : 23,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,187,205.379,40.0,141.712,23.0,0.0,0.0
2013,Febrero,Administrativo,ADMINISTRATIVO DPTO. ADMINISTRACION,12,4TO. MEDIO,Región Metropolitana de Santiago,-2,678578,,-,-,No,No tiene,No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,195,0.0,0.0,0.0,0.0,0.0,0.0
2013,Febrero,Técnico,TECINICO DIRECCION TRANSITO,11,ADMINISTRACION DE EMPRESAS PERSONAL,Región Metropolitana de Santiago,-1,742318,,-,-,No,No tiene,No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,197,0.0,0.0,0.0,0.0,0.0,0.0
2013,Febrero,Técnico,TECNICO PERMISOS DE CIRCULACION,10,ESTUDIOS UNIVERSITARIOS INCOMPLETOS,Región Metropolitana de Santiago,-1,857282,,-,-,Sí,"88.971,00 : 21,00 hrs","30.504,00 : 6,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,205,88.971,21.0,30.504,6.0,0.0,0.0
2013,Febrero,Profesional,PROFESIONAL DIRECCION DE ADMINISTRACION Y FINANZAS,9,ADMINSTRADOR PUBLICO,Región Metropolitana de Santiago,-2,1004650,,-,-,Sí,"205.379,00 : 40,00 hrs","30.807,00 : 5,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,212,205.379,40.0,30.807,5.0,0.0,0.0
